Costa.png,"Costa, da Costa"
Cotrim coat.jpg,Cotrim
"Desenho do Pai in ""Décadas da Ásia"" de Diogo Couto 3.jpg",Couceiro
Coutinho,
Couto,
Covilhã,
Covinha,
Craveiro,
Cruz,
Cunha Coat of Arms.PNG,Cunha
Curvelo,
Custódio,
Curado,
D,
Brasão,Apelido
Damasceno,
Damásio,
Dâmaso,
Antas coat.jpg,Dantas
Delgado,
Brasao dias.jpg,Dias
Diegues,patronímica
Dinis,
Dourado,toponímica
Doutel,toponímica
Doutis,toponímica
Domingos,
Domingues,patronímica
Dorneles,
Ornellas,
,
Ornelas,
,
Dornelles,
Duarte,
Durão,
Durães,
Dutra,
E,
Brasão,Apelido
Eanes,
Eiró,
Escobar,
Espargosa,
Esparteiro,
Espinosa,
Espírito Santo,religiosa
Esteves.gif,Esteves
Estrada,
Estrela,
F,
Brasão,Apelido
Faia,
Fagundes,
Falcão,
Faleiro,
Brasao faria.jpg,Faria
Farias,
Farinha,
Faro,
Fartaria,
Faustino,
Fazendeiro,
Feijó,
Feira,
Feitosa,
Brasão Félix.png,Félix
FERNANDES portuguese coat of arms.png,Fernandes
Ferraço,
Ferrão,
Ferraz,
Ferreira2.gif,Ferreira
Ferro,
Festas,
Fiães,
Fialho,
Fidalgo,patronímica
Figueira,
Figueiredo,
Figueiró,
Figueiroa,
Felgueira2.jpg,Filgueiras
Filipe,
Fitas,
Fiúza,
Flávio,
Flores,
Fogassa.GIF,Fogaça
Fonseca,
Fontes,
Fontinha,
Fontoura,
Foquiço,
Fortes,
Fortunato,
Brasão da Familia Frade.jpg,Frade
Fraga,
Fragoso,
Frajuca,
Franca,
França,
Franco,
Franca,
Franqueira,
Frazão,
Freire,
Freiria,
Brasao freitas.jpg,Freitas
Freixo,
Frias,
Familiafroes.jpg,Frois
Frota,
Furquim,
Furtado,
G,
Brasão,Apelido
Gabeira,
Gadelha,
Gago,
Galante,
Galindo,
Galvão,
Vasco da Gama o navegador escudo.png,Gama
Gameiro,
Garcez,
Garcia de Gondim,Garcia
Garrau,
Garrido,
Gaspar,
Gentil,
Gil,
Ginjeira,
Girão.jpg,Girão
Godinho Brasao.jpg,Godinho
Godoi,
Gois,patronímica
Brasao gomes.jpg,Gomes
Gomide,
Gonçalves,patronímica
Gorjão,
Goulart,
Gouveia,
Goulão,
Graça,
Grande,
Grangeia,
Granja,
Granjeiro,
Gravato,
Grilo,
Guedelha,
Guedes.gif,Guedes
Guerra,
Guerreiro,
Guilheiro,
Guimaraes2.JPG,Guimarães
Vímarães*,
,
Guimaraens,
Gusmão,
Guterres,patronímica
H,
Brasão,Apelido
Brasao henriques.jpg,Henriques
Hernandes,
Hilário,
Hipólito,
Holanda,
"Brasão da familia Homem, Portugal.jpg",Homem
Brasao Horta.jpg,Horta
I,
Brasão,Apelido
Igrejas,
Ilha,
Imperial,
Inácio,
Inês,
Infante,
J,
Brasão,Apelido
Jamandas,
Janes.jpg,Janes
Jardim,
Jesus,religiosa
Jobim,toponímica
Jordão,
Jorge,
Júdice,
Junqueira,
K,
Brasão,Apelido
Keil,
L,
Brasão,Apelido
Lacerda,
Lage,
Lages,
Lago,
Lagoa,
Lagos,
Lalanda,
Lamego,
Lameira,toponímica
Lameirinhas,
Lameiras,
Lamenha,
Lampreia,
Armas duques aveiro.png,Lancastre
"Alancastro,",
Lencastre,
Lencaster,
,
Landim,
Lara,
Laranjeira,
Lários,
Laureano,
Leal,
Leão,toponímica
Leiria,
Leitão,
Leite,
Leme,
Lemes,
Arms family Lemos.svg,Lemos
Lessa,
Letras,
Liberato,
Lima coat.jpg,Lima
Linhares,
Lindim,
Lins,
Lira,
Lisboa,toponímica
Brasao lobato.jpg,Lobato
Lobo.gif,Lobo
Loio,toponímica
Lopes.PNG,Lopes
Lourenço,
Loureiro,
Lousã,
Lousada,
Lousado,
Lucas,
Lucena,
Lustosa,
Luz,
M,
Brasão,Apelido
Macedo.gif,Macedo
Macena,
Machado.GIF,Machado
Macieira,
BRASÃO DA FAMILIA MACIEL.jpg,Maciel
Madeira,toponímica
Madruga,
Madureira,
Mafra,
Magalhaes coat.jpg,Magalhães
Maia,
Mainha,
Maior,
Malafaia,
Malheiro,
Malho,
Malta,
Mamouros,
Mangueira,
Mansilha,
Manso,
Mantas,
Maranhão,
Marçal,
Marcondes,
Marinho,
Marins,
Mariz.jpg,Mariz
Marmou,
Marques,
Marreiro,
Marroquim,
Martinho,
Martins.GIF,Martins
Arms count santa cruz.jpg,Mascarenhas
Mataserta.GIF,
Matacorreiomor.gif,
,
Mata,toponímica
Mateus,
Brasão Matias.png,
Mathias.svg,
,
Matias,patronímica
Matos2.JPG,Matos
Matosinhos,
Matoso,
Medeiros,
Medina,
Meira,
Meireles,
Melgaço,
Mena,
Melo,
Mendes,
Mendonça,
Meneses,
Mesquita,
Mexia,
Miguel,
Miguéis,
Mieiro,
Milhães,
Milheirão,
Milheiriço,
Milheiro,
Minho,
Miranda,
Mirandela,
Modesto,
Moita,
Mondragão,
Monforte,
Monjardim,
Monsanto,
Mont'Alverne,
Monte,
Montenegro,
Monteiro,
Morais,
Morão,
Moreira,
Moreno,
Morgado,
Mortágua,
Mota,
Moura,
Mourão,
Mourato,
Mourinho,
Muniz,
Munhoz,
Muñiz,
Murteira,
Murtinho,
Muxagata,
Narvais,
Nascimento,
Natal,
Naves,
Nazário,
Negrão,
Negreiros,
Negromonte,
Neiva,
Neres,
Neto,
Neves,
Ninharelhos,
Nobre,
Nóbrega,
Nogueira,
Noite,
Nolasco,
Noleto,
Norões,
Noronha,
Novais,
Nunes,
Olaio,
Oleiro,
Olivares,
Oliveira,
Onofre,
Ornelas,
Orriça,
Osório,
Ourique,
Ouro,
Outeiro,
Pacheco,
Padilha,
Pádua,
Paião,
Pais,
Paiva,
Paixão,
Palha,
Palhares,
Palma,
Palmeira,
Palos,
Parafita,
Paranhos,
Pardo,
Paredes [2],
Parente [3],
Parracho,
Parreira [4],
Passarinho [5],
Passos,
Pastana [6],
Patrício,
Paula,
Paulos,
Paz,
Peçanha,
Pêcego,
Pederneiras,
Pedro,
Pedroso,
Pegado,
Peixoto,
Penha,
Penteado,
Pequeno,
Peralta,
Perdigão,
Pereira,
Pescada,
Peseiro,
Pessoa,
Pestana [7],
Picanço,
Picão,
Pimenta,
Pimentel,
Pinhal,
Pinheiro,
Pinho,
Pinto,
Piteira,
Pires,
"Pedrez,",
Petrez,
Poças,
Ponte,
Pontes,
Porciúncula,
Portela,
Porto,
Portugal,
Póvoas,
Prada,
Prado,
Prates,
Prestes,
Proença,
Protásio,
Prudente,
Pureza,
Quadros,
Quaresma,
Queiroga,
Queirós,
Quental,
