tconst	averageRating	numVotes
tt10385364	8.1	46
tt0534465	7.1	44
tt2105238	8.7	2212
tt3712470	6.6	16
tt2287041	6.9	233
tt1872834	6.0	70
tt1506453	6.9	33
tt8948974	5.6	86
tt5247052	7.2	62
tt0390273	7.8	8
tt2034132	4.0	16
tt0110424	8.5	33
tt5116384	7.4	13
tt0683694	7.0	8
tt4360008	4.5	24
tt0843738	7.4	5
tt3552198	7.5	140
tt0765540	5.9	70
tt0489045	3.9	99
tt0365943	8.9	21
tt2164212	9.3	62
tt1134333	7.7	119
tt4981314	8.7	75
tt1239435	7.3	275
tt4546818	8.1	253
tt1455042	7.1	8
tt0560319	7.3	141
tt0789456	8.8	259
tt0199428	5.8	68
tt0023421	6.1	16
tt0068559	5.1	551
tt2897340	9.3	9
tt0512418	6.6	105
tt8420212	7.2	5
tt0176343	7.6	33
tt0362529	4.1	16
tt0371760	6.6	35
tt7913488	8.4	12
tt0624489	5.2	5
tt0040608	4.8	5
tt0814341	7.0	16
tt1242768	6.0	13
tt4361226	8.0	24
tt1560168	2.9	24
tt5306386	8.4	5
tt1148757	7.7	15
tt9817288	6.5	32
tt0514662	7.6	25
tt0861180	8.3	10
tt0181365	7.6	432
tt7325056	7.2	1440
tt0461826	5.2	914
tt0999891	6.4	25
tt0997080	5.0	198
tt1159026	7.8	13
tt1830576	4.6	14
tt0199950	5.3	634
tt0096018	7.7	13076
tt0274932	6.4	1756
tt4992024	4.7	23
tt1447134	1.8	6
tt6141334	5.2	424
tt1577139	7.0	7
tt0110796	7.4	1052
tt1210878	7.8	6
tt0129762	6.5	189
tt0045906	6.3	6
tt0308058	6.5	257
tt1671681	7.7	7
tt0134058	6.0	5
tt0710007	7.9	52
tt1087359	7.0	6
tt0436410	8.0	5
tt2304228	8.8	8
tt8875342	8.1	989
tt0684252	5.7	39
tt9592696	6.9	7
tt0867147	7.2	38
tt0060201	7.8	475
tt2186928	7.8	185
tt5692144	9.2	6
tt0491811	6.3	284
tt1538190	7.4	9
tt3496806	2.7	18
tt0133905	5.2	21
tt1230516	6.3	9
tt3401130	8.2	99
tt0601509	8.3	74
